epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,8578.04,0.84406,0.45312,0.96349,0.94238,0.94643,0.96169,0.77485,0.77088,0.41245,0.96946,0.0051985,0.0051985,0.0051985
99,8664.9,0.84249,0.45049,0.96307,0.94234,0.94634,0.96157,0.77561,0.76913,0.41136,0.96886,0.005149,0.005149,0.005149
100,8751.53,0.84538,0.45291,0.96478,0.94363,0.94733,0.96282,0.77605,0.76729,0.41029,0.96806,0.0050995,0.0050995,0.0050995
101,8838.86,0.84276,0.45246,0.96248,0.94313,0.94546,0.96186,0.77678,0.7654,0.40926,0.9672,0.00505,0.00505,0.00505
102,8925.48,0.83395,0.44742,0.96084,0.94415,0.94487,0.96207,0.7776,0.76332,0.40808,0.9664,0.0050005,0.0050005,0.0050005
103,9013.28,0.83858,0.44796,0.96071,0.94519,0.9453,0.96315,0.7788,0.76191,0.40714,0.96582,0.004951,0.004951,0.004951
104,9100.89,0.83368,0.44701,0.95998,0.9458,0.94542,0.9635,0.77946,0.76011,0.40631,0.96503,0.0049015,0.0049015,0.0049015
105,9188.59,0.82559,0.44283,0.95592,0.94644,0.94512,0.96374,0.78008,0.75822,0.40491,0.96425,0.004852,0.004852,0.004852
106,9276.19,0.82621,0.4443,0.95621,0.94612,0.94516,0.96384,0.78076,0.75673,0.40382,0.96356,0.0048025,0.0048025,0.0048025
107,9362.9,0.82578,0.44372,0.95706,0.94622,0.94551,0.96397,0.78163,0.75463,0.40266,0.96281,0.004753,0.004753,0.004753
108,9450.7,0.82073,0.44141,0.95545,0.94673,0.946,0.96414,0.78223,0.75295,0.40181,0.96212,0.0047035,0.0047035,0.0047035
109,9538.06,0.82297,0.44234,0.95575,0.94649,0.94657,0.96451,0.78302,0.75132,0.40076,0.9614,0.004654,0.004654,0.004654
110,9626.32,0.81627,0.43892,0.95242,0.94601,0.94672,0.96442,0.78377,0.74941,0.39998,0.96073,0.0046045,0.0046045,0.0046045
111,9713.67,0.81289,0.43658,0.95131,0.94581,0.94752,0.9647,0.78426,0.74782,0.39877,0.96008,0.004555,0.004555,0.004555
112,9801,0.81608,0.43833,0.95391,0.94592,0.948,0.96492,0.78496,0.74606,0.3977,0.95939,0.0045055,0.0045055,0.0045055
113,9887.74,0.81415,0.43571,0.95193,0.94588,0.94888,0.96506,0.78553,0.74445,0.39697,0.95878,0.004456,0.004456,0.004456
114,9975.59,0.80714,0.43472,0.95128,0.94729,0.9481,0.96527,0.78605,0.74277,0.39582,0.95821,0.0044065,0.0044065,0.0044065
115,10062.9,0.80675,0.43239,0.94988,0.94772,0.94729,0.96557,0.78688,0.74091,0.39498,0.95755,0.004357,0.004357,0.004357
116,10149.5,0.80973,0.43294,0.95091,0.94877,0.94754,0.96585,0.78812,0.73916,0.39387,0.95688,0.0043075,0.0043075,0.0043075
117,10237,0.80392,0.4308,0.94913,0.94954,0.94781,0.96602,0.78879,0.73763,0.39304,0.95629,0.004258,0.004258,0.004258
118,10323.7,0.8047,0.43181,0.94999,0.95041,0.94738,0.96615,0.78974,0.73568,0.39195,0.95548,0.0042085,0.0042085,0.0042085
119,10411.1,0.79887,0.42928,0.94721,0.94984,0.94974,0.96615,0.79029,0.73404,0.39098,0.95481,0.004159,0.004159,0.004159
120,10498.6,0.79769,0.42788,0.94785,0.95085,0.95021,0.96646,0.79066,0.73216,0.39006,0.95406,0.0041095,0.0041095,0.0041095
121,10586.1,0.79541,0.4266,0.94688,0.95158,0.94962,0.96672,0.79131,0.73054,0.38936,0.95346,0.00406,0.00406,0.00406
122,10673.6,0.79415,0.42653,0.94502,0.95095,0.95031,0.96735,0.79269,0.72878,0.38823,0.9529,0.0040105,0.0040105,0.0040105
123,10760.3,0.79185,0.42516,0.94611,0.9518,0.94977,0.96748,0.79283,0.72709,0.3875,0.95226,0.003961,0.003961,0.003961
124,10848.1,0.78874,0.42439,0.94429,0.95249,0.94966,0.96781,0.79356,0.72538,0.3865,0.95163,0.0039115,0.0039115,0.0039115
